title,year,director,duration,cast,genre,imdb_rating,budget,revenue,profit_percent
Star Wars,1977,George Lucas,121,"Mark Hamill, Harrison Ford, Carrie Fisher",Action  •  Adventure  •  Cyborg / Android / Robot,8.6,11000000,775398007,6949.072790909091
The Empire Strikes Back,1980,Irvin Kershner,127,"Mark Hamill, Harrison Ford, Carrie Fisher",Action  •  Adventure  •  Cyborg / Android / Robot,8.7,18000000,538400000,2891.1111111111113
The Godfather,1972,Francis Ford Coppola,175,"Marlon Brando, Al Pacino, James Caan",Based-on-20th-Century-Literature  •  Crime Drama  •  Crime,9.2,6000000,245066411,3984.4401833333336
Raiders of the Lost Ark,1981,Steven Spielberg,115,"Harrison Ford, Paul Freeman, Karen Allen",Action  •  Adventure  •  Costume Adventure,8.4,18000000,389925971,2066.2553944444444
The Shawshank Redemption,1994,Frank Darabont,142,"Tim Robbins, Morgan Freeman, Bob Gunton",Based-on-20th-Century-Literature  •  Buddy Film  •  Drama,9.3,25000000,28341469,13.365875999999998
Pulp Fiction,1994,Quentin Tarantino,154,"John Travolta, Samuel L. Jackson, Bruce Willis",Black Comedy  •  Comedy Thriller  •  Crime Comedy,8.9,8000000,213928762,2574.109525
Return of the Jedi,1983,Richard Marquand,134,"Mark Hamill, Harrison Ford, Carrie Fisher",Action  •  Adventure  •  Cyborg / Android / Robot,8.3,32350000,572700000,1670.32457496136
Back to the Future,1985,Robert Zemeckis,116,"Michael J. Fox, Christopher Lloyd, Lea Thompson",Adventure Comedy  •  Adventure  •  Americana,8.5,19000000,381109762,1905.840852631579
Harakiri,1962,Masaki Kobayashi,133,"Tatsuya Nakadai, Rentaro Mikuni, Shima Iwashita",Based-on-20th-Century-Literature  •  Drama  •  Foreign Language Film,8.6,0,0,NA
Ikiru,1952,Akira Kurosawa,143,"Takashi Shimura, Shin'ichi Himori, Haruo Tanaka",Based-on-19th-Century-Literature  •  Drama  •  Foreign Language Film,8.3,0,55240,NA
The Godfather Part II,1974,Francis Ford Coppola,200,"Al Pacino, Robert Duvall, Diane Keaton",Based-on-20th-Century-Literature  •  Crime Drama  •  Crime,9,13000000,102600000,689.2307692307693
The Dark Knight,2008,Christopher Nolan,152,"Christian Bale, Heath Ledger, Aaron Eckhart",Action Thriller  •  Action  •  Based-on-Comics,9,185000000,1004558444,443.00456432432435
Fight Club,1999,David Fincher,139,"Brad Pitt, Edward Norton, Helena Bonham Carter",Based-on-20th-Century-Literature  •  Black Comedy  •  Comedy Drama,8.8,63000000,100853753,60.085322222222224
GoodFellas,1990,Martin Scorsese,145,"Robert De Niro, Ray Liotta, Joe Pesci",Based-on-20th-Century-Literature  •  Based-on-a-True-Story  •  Biopic,8.7,25000000,46800000,87.2
Rear Window,1954,Alfred Hitchcock,112,"James Stewart, Grace Kelly, Wendell Corey",Based-on-20th-Century-Literature  •  Mystery  •  Psychological Thriller,8.5,1000000,37042336,3604.2336
High and Low,1963,Akira Kurosawa,142,"Toshirô Mifune, Tatsuya Nakadai, Kyoko Kagawa",Based-on-20th-Century-Literature  •  Crime Drama  •  Crime Thriller,8.4,0,0,NA
City Lights,1931,Charles Chaplin,87,"Charles Chaplin, Virginia Cherrill, Florence Lee",Comedy Drama  •  Comedy  •  Drama,8.5,1500000,4250000,183.33333333333331
Alien,1979,Ridley Scott,117,"Tom Skerritt, Sigourney Weaver, Ian Holm",Body Horror  •  Cyborg / Android / Robot  •  Horror,8.5,11000000,104931801,853.9254636363637
The Silence of the Lambs,1991,Jonathan Demme,118,"Jodie Foster, Scott Glenn, Anthony Hopkins",Based-on-20th-Century-Literature  •  Cannibal Film  •  Crime Thriller,8.6,19000000,272742922,1335.4890631578946
The Shining,1980,Stanley Kubrick,142,"Jack Nicholson, Shelley Duvall, Danny Lloyd",Based-on-20th-Century-Literature  •  Ghost Film  •  Haunted House Film,8.4,19000000,44781695,135.69313157894737
Indiana Jones and the Last Crusade,1989,Steven Spielberg,127,"River Phoenix, Harrison Ford, Sean Connery",Action Comedy  •  Action  •  Adventure Comedy,8.2,48000000,474171806,887.8579291666666
Se7en,1995,David Fincher,127,"Brad Pitt, Morgan Freeman, Gwyneth Paltrow",Crime Thriller  •  Crime  •  Police Detective Film,8.6,33000000,327311859,891.8541181818181
Reservoir Dogs,1992,Quentin Tarantino,99,"Harvey Keitel, Tim Roth, Michael Madsen",Caper  •  Crime Thriller  •  Crime,8.3,1200000,2859750,138.3125
The Apartment,1960,Billy Wilder,125,"Jack Lemmon, Fred MacMurray, Ray Walston",Black Comedy  •  Comedy Drama  •  Drama,8.3,3000000,25000000,733.3333333333333
Casablanca,1942,Michael Curtiz,102,"Humphrey Bogart, Ingrid Bergman, Paul Henreid",Based-on-Theatre  •  Drama  •  Romance,8.5,0,0,NA
Seven Samurai,1954,Akira Kurosawa,207,"Toshirô Mifune, Minoru Chiaki, Takashi Shimura",Action  •  Drama  •  Ensemble Film,8.6,2000000,105000000,5150
The Matrix,1999,The Wachowskis,136,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",Action  •  Cyberpunk / Tech Noir  •  Cyborg / Android / Robot,8.7,63000000,463517383,635.7418777777779
M,1931,Fritz Lang,99,"Peter Lorre, Ellen Widmann, Inge Landgut",Crime Thriller  •  Crime  •  Foreign Language Film,8.3,0,0,NA
Die Hard,1988,John McTiernan,131,"Bruce Willis, Alan Rickman, Bonnie Bedelia",Action Thriller  •  Action  •  Based-on-20th-Century-Literature,8.2,28000000,140767956,402.7427
Monty Python and the Holy Grail,1975,"Terry Gilliam, Terry Jones",91,"Graham Chapman, John Cleese, Eric Idle",Absurd Comedy  •  Adventure Comedy  •  Adventure,8.2,400000,5028948,1157.2369999999999
"The Good, the Bad and the Ugly",1966,Sergio Leone,161,"Eli Wallach, Clint Eastwood, Lee Van Cleef",Foreign Language Film  •  Outlaw  •  Revisionist Western,8.8,1200000,38900000,3141.666666666667
One Flew Over the Cuckoo's Nest,1975,Milos Forman,133,"Jack Nicholson, Louise Fletcher, Will Sampson",Based-on-20th-Century-Literature  •  Comedy Drama  •  Drama,8.7,3000000,108981275,3532.709166666667
Double Indemnity,1944,Billy Wilder,107,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson",Based-on-20th-Century-Literature  •  Crime Thriller  •  Crime,8.3,927262,2500000,169.61096216603292
Sunrise: A Song of Two Humans,1927,F.W. Murnau,94,"George O'Brien, Janet Gaynor, Margaret Livingston",Drama  •  Marriage Drama  •  Melodrama,8.1,0,1636000,NA
The Night of the Hunter,1955,Charles Laughton,92,"Robert Mitchum, Shelley Winters, Lillian Gish",Based-on-20th-Century-Literature  •  Crime Thriller  •  Crime,8,795000,0,NA
The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,178,"Elijah Wood, Ian McKellen, Viggo Mortensen",Adventure  •  Based-on-20th-Century-Literature  •  Ensemble Film,8.9,93000000,871368364,836.9552301075269
Yojimbo,1961,Akira Kurosawa,110,"Toshirô Mifune, Isuzu Yamada, Daisuke Katô",Action  •  Adventure  •  Costume Adventure,8.2,116,0,NA
Ghostbusters,1984,Ivan Reitman,105,"Bill Murray, Dan Aykroyd, Harold Ramis",Comedy  •  Fantasy Comedy  •  Fantasy,7.8,30000000,296578797,888.5959899999999
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick,93,"George C. Scott, Sterling Hayden, Peter Sellers",Anti-War Film  •  Apocalyptic Film  •  Based-on-20th-Century-Literature,8.3,1800000,9500000,427.77777777777777
North by Northwest,1959,Alfred Hitchcock,136,"Cary Grant, Eva Marie Saint, James Mason",Chase Movie  •  Mystery  •  Romance,8.3,4000000,13275000,231.875
The Third Man,1949,Carol Reed,93,"Joseph Cotten, Alida Valli, Orson Welles",British Noir  •  Film Noir  •  Mystery,8.1,0,1226098,NA
Citizen Kane,1941,Orson Welles,119,"Orson Welles, Ray Collins, Joseph Cotten",Drama  •  Newspaper Film  •  Period Film,8.3,839727,23218000,2664.9462265712546
Terminator 2: Judgment Day,1991,James Cameron,137,"Arnold Schwarzenegger, Linda Hamilton, Robert Patrick",Action Thriller  •  Action  •  Cyberpunk / Tech Noir,8.6,102000000,520000000,409.8039215686274
The Princess Bride,1987,Rob Reiner,98,"Cary Elwes, Mandy Patinkin, Chris Sarandon",Adventure Comedy  •  Adventure  •  Based-on-20th-Century-Literature,8,16000000,30900000,93.125
Rashômon,1950,Akira Kurosawa,88,"Toshirô Mifune, Machiko Kyô, Minoru Chiaki",Based-on-20th-Century-Literature  •  Crime Drama  •  Crime,8.2,250000,117668,-52.9328
Blade Runner,1982,Ridley Scott,117,"Harrison Ford, Rutger Hauer, Sean Young",Based-on-20th-Century-Literature  •  Cyberpunk / Tech Noir  •  Cyborg / Android / Robot,8.1,28000000,41722424,49.008657142857146
Taxi Driver,1976,Martin Scorsese,113,"Robert De Niro, Jodie Foster, Albert Brooks",Drama  •  New Hollywood  •  Post-Noir,8.2,1900000,28579636,1404.1913684210526
The Lord of the Rings: The Return of the King,2003,Peter Jackson,201,"Elijah Wood, Ian McKellen, Andy Serkis",Adventure  •  Based-on-20th-Century-Literature  •  Ensemble Film,9,94000000,1118888979,1090.3074244680852
The Wages of Fear,1953,Henri-Georges Clouzot,131,"Yves Montand, Charles Vanel, Folco Lulli",Based-on-20th-Century-Literature  •  Foreign Language Film  •  Psychological Thriller,8.1,0,0,NA
The Usual Suspects,1995,Bryan Singer,106,"Stephen Baldwin, Gabriel Byrne, Benicio Del Toro",Crime Thriller  •  Crime  •  Ensemble Film,8.5,6000000,23300000,288.3333333333333
Saving Private Ryan,1998,Steven Spielberg,170,"Tom Hanks, Tom Sizemore, Edward Burns",Combat Films  •  Drama  •  Ensemble Film,8.6,70000000,481840909,588.3441557142858
Aliens,1986,James Cameron,137,"Sigourney Weaver, Carrie Henn, Michael Biehn",Action  •  Body Horror  •  Cyborg / Android / Robot,8.4,18500000,183316455,890.8997567567567
Paths of Glory,1957,Stanley Kubrick,87,"Kirk Douglas, Ralph Meeker, Adolphe Menjou",Anti-War Film  •  Based-on-20th-Century-Literature  •  Drama,8.4,935000,1200000,28.342245989304814
Psycho,1960,Alfred Hitchcock,109,"Anthony Perkins, Vera Miles, John Gavin",Based-on-20th-Century-Literature  •  Horror  •  Psychological Horror,8.5,806947,50048065,6102.150203173195
12 Angry Men,1957,Sidney Lumet,96,"Henry Fonda, Lee J. Cobb, Jack Klugman",Based-on-Television  •  Based-on-Theatre  •  Courtroom Drama,9,397751,4360000,996.1631774652985
Jurassic Park,1993,Steven Spielberg,127,"Sam Neill, Laura Dern, Richard Attenborough",Action  •  Based-on-20th-Century-Literature  •  Fantasy,8.2,63000000,920100000,1360.4761904761904
Schindler's List,1993,Steven Spielberg,195,"Liam Neeson, Ben Kingsley, Ralph Fiennes",Based-on-20th-Century-Literature  •  Based-on-a-True-Story  •  Biopic,9,22000000,321365567,1360.7525772727274
The Passion of Joan of Arc,1928,Carl Theodor Dreyer,110,"Maria Falconetti, Eugene Silvain, André Berley",Based-on-a-True-Story  •  Biopic  •  Courtroom Drama,8.1,0,18121,NA
The Red Shoes,1948,"Michael Powell, Emeric Pressburger",133,"Moira Shearer, Anton Walbrook, Marius Goring",Based-on-19th-Century-Literature  •  Dance Film  •  Drama,8.1,500000,0,NA
Persona,1966,Ingmar Bergman,85,"Bibi Andersson, Liv Ullmann, Margareta Krook",Avant-garde / Experimental  •  Drama  •  Foreign Language Film,8,0,0,NA
Apocalypse Now,1979,Francis Ford Coppola,153,"Martin Sheen, Robert Duvall, Dennis Hopper",Adventure Drama  •  Adventure  •  Anti-War Film,8.4,31500000,150000000,376.1904761904762
Forrest Gump,1994,Robert Zemeckis,142,"Tom Hanks, Robin Wright, Gary Sinise",Americana  •  Comedy Drama  •  Drama,8.8,55000000,677387716,1131.614029090909
Touch of Evil,1958,Orson Welles,95,"Charlton Heston, Janet Leigh, Orson Welles",Crime  •  Film Noir  •  Mystery,8,0,0,NA
Vertigo,1958,Alfred Hitchcock,129,"James Stewart, Kim Novak, Tom Helmore",Based-on-20th-Century-Literature  •  Femme Fatale  •  Mindbender,8.3,2479000,7808900,215.00201694231546
Jaws,1975,Steven Spielberg,124,"Roy Scheider, Robert Shaw, Richard Dreyfuss",Adventure  •  Based-on-20th-Century-Literature  •  Horror,8.1,7000000,470653000,6623.614285714285
Chinatown,1974,Roman Polanski,131,"Faye Dunaway, Jack Nicholson, John Hillerman",Detective Film  •  Femme Fatale  •  Mystery,8.1,6000000,30000000,400
Come and See,1985,Elem Klimov,140,"Aleksei Kravchenko, Olga Mironova, Liubomiras Lauciavicius",Anti-War Film  •  Based-on-20th-Century-Literature  •  Coming-of-Age,8.4,0,20929648,NA
Toy Story,1995,John Lasseter,81,"Don Rickles, Wallace Shawn, Jim Varney",Adventure  •  Animation  •  Comedy,8.3,30000000,394436586,1214.78862
The Lord of the Rings: The Two Towers,2002,Peter Jackson,179,"Elijah Wood, Ian McKellen, Andy Serkis",Adventure  •  Based-on-20th-Century-Literature  •  Ensemble Film,8.8,79000000,926287400,1072.5156962025317
The Big Lebowski,1998,Joel & Ethan Coen,117,"Julianne Moore, David Huddleston, Jeff Bridges",Buddy Film  •  Comedy  •  Crime Comedy,8.1,15000000,47010480,213.4032
Memento,2000,Christopher Nolan,113,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano",Crime Thriller  •  Crime  •  Mindbender,8.4,9000000,40047236,344.9692888888889
Bicycle Thieves,1948,Vittorio De Sica,93,"Lamberto Maggiorani , Lianella Carell , Enzo Staiola",Coming-of-Age  •  Crime Drama  •  Crime,8.3,133000,450159,238.46541353383458
Le samouraï,1967,Jean-Pierre Melville,105,"Alain Delon, François Perier, Nathalie Delon",Crime Thriller  •  Crime  •  Foreign Language Film,8,0,215245,NA
A Clockwork Orange,1971,Stanley Kubrick,136,"Malcolm McDowell, Warren Clarke, Patrick Magee",Based-on-20th-Century-Literature  •  Dystopian Film  •  Juvenile Delinquency Film,8.2,2200000,27033812,1128.8096363636364
Ferris Bueller's Day Off,1986,John Hughes,103,"Matthew Broderick, Alan Ruck, Mia Sara",Comedy • Comedy Drama,7.8,6000000,70100000,1068.3333333333333
Tokyo Story,1953,Yasujirô Ozu,136,"Chishu Ryu, Chieko Higashiyama, Setsuko Hara",Comedy  •  Coming-of-Age  •  Teen Movie,8.1,0,0,NA
The General,1926,"Clyde Bruckman, Buster Keaton",103,"Buster Keaton, Marion Mack, Glen Cavender",Drama  •  Family Drama  •  Foreign Language Film,8.1,0,54114815,NA
The Treasure of the Sierra Madre,1948,John Huston,126,"Humphrey Bogart, Walter Huston, Tim Holt",Action Comedy  •  Action  •  Comedy,8.2,3800000,4307000,13.342105263157894
Full Metal Jacket,1987,Stanley Kubrick,116,"Matthew Modine, Adam Baldwin, Vincent D'Onofrio",Adventure Drama  •  Adventure  •  Drama,8.2,30000000,46357676,54.52558666666667
Inception,2010,Christopher Nolan,148,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe",Anti-War Film  •  Based-on-20th-Century-Literature  •  Combat Films,8.8,160000000,839030630,424.39414375
The Terminator,1984,James Cameron,108,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn",Action Thriller  •  Action  •  Caper,8.1,6400000,78371200,1124.55
Fargo,1996,Joel & Ethan Coen,98,"Frances McDormand, William H. Macy, Steve Buscemi",Action Thriller  •  Action  •  Cyberpunk / Tech Noir,8.1,7000000,60611975,765.8853571428572
The 400 Blows,1959,François Truffaut,99,"Jean-Pierre Léaud, Claire Maurier, Albert Remy",Americana  •  Black Comedy  •  Crime Comedy,8,0,0,NA
It Happened One Night,1934,Frank Capra,105,"Clark Gable, Claudette Colbert, Walter Connolly",Childhood Drama  •  Coming-of-Age  •  Drama,8.1,325000,4500000,1284.6153846153848
Wild Strawberries,1957,Ingmar Bergman,91,"Victor Sjostrom, Bibi Andersson, Ingrid Thulin",Comedy  •  Newspaper Film  •  Pre-Code Hollywood,8.1,0,0,NA
Notorious,1946,Alfred Hitchcock,101,"Cary Grant, Ingrid Bergman, Claude Rains",Drama  •  Foreign Language Film  •  Psychological Drama,7.9,0,43051547,NA
Sunset Blvd.,1950,Billy Wilder,110,"William Holden, Gloria Swanson, Nancy Olson",Film Noir  •  Mystery  •  Political Thriller,5.2,0,0,NA
The Seventh Seal,1957,Ingmar Bergman,96,"Max von Sydow, Gunnar Björnstrand, Bengt Ekerot",Drama  •  Femme Fatale  •  Film Noir,8.1,150000,311212,107.47466666666668
The Departed,2006,Martin Scorsese,151,"Leonardo DiCaprio, Matt Damon, Mark Wahlberg",Drama  •  Fantasy  •  Foreign Language Film,8.5,90000000,291465000,223.85000000000002
Grand Illusion,1937,Jean Renoir,114,"Jean Gabin, Dita Parlo, Pierre Fresnay",Crime Drama  •  Crime Thriller  •  Crime,8.1,0,172885,NA
Stalker,1979,Andrei Tarkovsky,163,"Aleksandr Kaidanovsky, Alisa Frejndlikh, Anatoli Solonitsyn",Anti-War Film  •  Drama  •  Escape Film,8,0,0,NA
Batman Begins,2005,Christopher Nolan,140,"Christian Bale, Katie Holmes, Gary Oldman",Adventure Drama  •  Adventure  •  Based-on-20th-Century-Literature,8.2,150000000,374218673,149.47911533333334
Modern Times,1936,Charles Chaplin,87,"Charles Chaplin, Henry Bergman, Chester Conklin",Action  •  Action Thriller  •  Based-on-Comics,8.5,1500000,1800000,20
2001: A Space Odyssey,1968,Stanley Kubrick,141,"Keir Dullea, Gary Lockwood, William Sylvester",Comedy  •  Satire  •  Silent Film,8.3,12000000,71923560,499.36299999999994
Strangers on a Train,1951,Alfred Hitchcock,101,"Farley Granger, Robert Walker, Ruth Roman",Adventure  •  Based-on-20th-Century-Literature  •  Cyborg / Android / Robot,7.9,1200000,7000000,483.3333333333333
Ace in the Hole,1951,Billy Wilder,111,"Kirk Douglas, Robert Arthur, Jan Sterling",Based-on-20th-Century-Literature  •  Crime Thriller  •  Crime,8.1,1821052,1300000,-28.61269200440185
The Professional,1994,Luc Besson,110,"Jean Reno, Natalie Portman, Gary Oldman",Black Comedy  •  Comedy Drama  •  Drama,8.5,0,0,NA
Inglourious Basterds,2009,Quentin Tarantino,153,"Melanie Laurent, Brad Pitt, Christoph Waltz",Action Thriller  •  Action  •  Buddy Film,8.4,70000000,321457747,359.22535285714287
On the Waterfront,1954,Elia Kazan,108,"Marlon Brando, Karl Malden, Lee J. Cobb",Adventure  •  Revenge Film  •  War Adventure,8.1,910000,960000,5.4945054945054945
Rocky,1976,John G. Avildsen,119,"Sylvester Stallone, Talia Shire, Burt Young",Crime Drama  •  Crime  •  Drama,8.1,1000000,225253184,22425.3184
8½,1963,Federico Fellini,138,"Marcello Mastroianni, Claudia Cardinale, Anouk Aimée",Drama  •  New Hollywood  •  Sports Drama,8,0,0,NA
Network,1976,Sidney Lumet,121,"Faye Dunaway, William Holden, Peter Finch",Comedy Drama  •  Drama  •  Ensemble Film,8.1,3800000,23700000,523.6842105263157
Throne of Blood,1957,Akira Kurosawa,109,"Toshirô Mifune, Isuzu Yamada, Minoru Chiaki",Black Comedy  •  Comedy Drama  •  Drama,8,0,13422,NA
Sweet Smell of Success,1957,Alexander Mackendrick,96,"Burt Lancaster, Tony Curtis, Susan Harrison",Action Thriller  •  Action  •  Based-on-Shakespeare,8,3400000,2500000,-26.47058823529412
In a Lonely Place,1950,Nicholas Ray,94,"Humphrey Bogart, Gloria Grahame, Frank Lovejoy",Drama  •  Film Noir  •  Media Satire,7.9,0,0,NA
Indiana Jones and the Temple of Doom,1984,Steven Spielberg,118,"Harrison Ford, Kate Capshaw, Ke Huy Quan",Crime Drama  •  Crime  •  Drama,7.5,28000000,333000000,1089.2857142857142
The Man Who Shot Liberty Valance,1962,John Ford,123,"John Wayne, James Stewart, Vera Miles",Action  •  Adventure  •  Costume Adventure,8.1,3200000,8000000,150
A Matter of Life and Death,1946,"Michael Powell, Emeric Pressburger",104,"David Niven, Kim Hunter, Roger Livesey",Drama  •  Outlaw  •  Revisionist Western,8,0,0,NA
The Conversation,1974,Francis Ford Coppola,113,"Gene Hackman, John Cazale, Allen Garfield",Fantasy  •  Romance  •  Romantic Fantasy,7.7,0,0,NA
The Philadelphia Story,1940,George Cukor,112,"Cary Grant, Katharine Hepburn, James Stewart",Drama  •  New Hollywood  •  Paranoid Thriller,7.8,0,0,NA
Groundhog Day,1993,Harold Ramis,101,"Bill Murray, Andie MacDowell, Chris Elliott",Based-on-Theatre  •  Comedy  •  Romance,8,14600000,71108778,387.04642465753426
All About Eve,1950,Joseph L. Mankiewicz,138,"Bette Davis, Anne Baxter, George Sanders",Comedy  •  Fantasy Comedy  •  Fantasy,8.2,1400000,8400000,500
Cool Hand Luke,1967,Stuart Rosenberg,126,"Paul Newman, George Kennedy, Strother Martin",Comedy Drama  •  Drama  •  Showbiz Drama,8.1,3200000,16217773,406.80540625
Raging Bull,1980,Martin Scorsese,129,"Robert De Niro, Cathy Moriarty, Joe Pesci",Drama  •  New Hollywood  •  Prison Film,8.1,18000000,23380203,29.890016666666668
The Rules of the Game,1939,Jean Renoir,110,"Nora Gregor, Paulette Dubost, Mila Parely",Based-on-20th-Century-Literature  •  Based-on-a-True-Story  •  Biopic,7.9,8847685,273520,-96.9085698688414
Whiplash,2014,Damien Chazelle,106,"Miles Teller, J.K. Simmons, Paul Reiser",Comedy Drama  •  Drama  •  Ensemble Film,8.5,3300000,50307484,1424.4692121212122
Parasite,2019,Bong Joon Ho,132,"Kang-ho Song, Yeo-jeong Jo, So-dam Park",Drama  •  Psychological Drama,8.5,800000,7000000,775
Shadow of a Doubt,1943,Alfred Hitchcock,108,"Teresa Wright, Joseph Cotten, MacDonald Carey",Black Comedy  •  Comedy Drama  •  Comedy Thriller,7.8,0,0,NA
Good Will Hunting,1997,Gus Van Sant,126,"Matt Damon, Robin Williams, Ben Affleck",Crime Thriller  •  Crime  •  Film Noir,8.3,10000000,225900000,2159
His Girl Friday,1940,Howard Hawks,92,"Cary Grant, Rosalind Russell, Ralph Bellamy",Coming-of-Age  •  Drama  •  Psychological Drama,7.8,0,0,NA
Out of the Past,1947,Jacques Tourneur,97,"Robert Mitchum, Jane Greer, Kirk Douglas",Based-on-Theatre  •  Comedy  •  Media Satire,8,0,0,NA
Sherlock Jr.,1924,Buster Keaton,45,"Buster Keaton, Kathryn McGuire, Joe Keaton",Based-on-20th-Century-Literature  •  Crime  •  Femme Fatale,8.2,0,0,NA
Badlands,1973,Terrence Malick,95,"Sissy Spacek, Martin Sheen, Gary Littlejohn",Action Comedy  •  Comedy  •  Crime Comedy,7.7,300000,0,NA
Shaun of the Dead,2004,Edgar Wright,99,"Simon Pegg, Nick Frost, Kate Ashfield",Americana  •  Based-on-a-True-Story  •  Coming-of-Age,7.9,6000000,39396175,556.6029166666667
In the Mood for Love,2000,Wong Kar-Wai,98,"Tony Leung Chiu Wai, Maggie Cheung, Ping Lam Siu",Apocalyptic Film  •  Black Comedy  •  Comedy,8.1,150000,14204632,9369.754666666668
Memories of Murder,2003,Bong Joon Ho,130,"Kang-ho Song, Sang-kyung Kim, Roe-ha Kim",Drama  •  Foreign Language Film  •  Period Film,8.1,2800000,26000000,828.5714285714287
No Country for Old Men,2007,Joel & Ethan Coen,122,"Tommy Lee Jones, Javier Bardem, Josh Brolin",Based-on-a-True-Story  •  Crime Drama  •  Crime Thriller,8.2,25000000,171627166,586.5086640000001
Kill Bill Vol. 1,2003,Quentin Tarantino,111,"Uma Thurman, Lucy Liu, Vivica A. Fox",Based-on-21st-Century-Literature  •  Crime Thriller  •  Crime,8.2,30000000,180906076,503.0202533333333
Aguirre: The Wrath of God,1972,Werner Herzog,93,"Klaus Kinski, Helena Rojo, Del Negro",Action Thriller  •  Action  •  Feminist Film,7.8,370000,37041,-89.98891891891891
The Gold Rush,1925,Charles Chaplin,96,"Charles Chaplin, Mack Swain, Tom Murray",Adventure Drama  •  Adventure  •  Drama,8.1,923000,4000000,333.3694474539545
The Thing,1982,John Carpenter,109,"Kurt Russell, Wilford Brimley, T.K. Carter",Adventure Comedy  •  Adventure  •  Comedy,8.2,15000000,19629760,30.865066666666667
The Lion King,1994,"Roger Allers, Rob Minkoff",89,"Matthew Broderick, Jeremy Irons, James Earl Jones",Alien Invasion Films  •  Based-on-20th-Century-Literature  •  Body Horror,8.5,45000000,763455561,1596.5679133333333
The Big Sleep,1946,Howard Hawks,114,"Lauren Bacall, John Ridgely, Humphrey Bogart",Adventure  •  Animated Musical  •  Animation,7.9,0,0,NA
La Dolce Vita,1960,Federico Fellini,180,"Marcello Mastroianni, Anita Ekberg, Anouk Aimée",Based-on-20th-Century-Literature  •  Detective Film  •  Femme Fatale,8,0,19647000,NA
Gladiator,2000,Ridley Scott,155,"Russell Crowe, Joaquin Phoenix, Connie Nielsen",Comedy Drama  •  Drama  •  Ensemble Film,8.5,103000000,465361176,351.8069669902913
The Maltese Falcon,1941,John Huston,100,"Humphrey Bogart, Mary Astor, Gladys George",Action  •  Adventure Drama  •  Adventure,7.9,375000,1772000,372.53333333333336
The Great Dictator,1940,Charles Chaplin,125,"Charles Chaplin, Paulette Goddard, Reginald Gardiner",Based-on-20th-Century-Literature  •  Crime  •  Detective Film,8.4,2000000,11000000,450
Diabolique,1955,Henri-Georges Clouzot,116,"Simone Signoret, Vera Clouzot, Paul Meurisse",Anti-War Film  •  Comedy Drama  •  Comedy,8.1,45000000,52400000,16.444444444444446
Anatomy of a Murder,1959,Otto Preminger,160,"James Stewart, Lee Remick, Eve Arden",Based-on-20th-Century-Literature  •  Crime  •  Foreign Language Film,8,2000000,8000000,300
Stand by Me,1986,Rob Reiner,89,"River Phoenix, Corey Feldman, Richard Dreyfuss",Courtroom Drama  •  Drama,8.1,35000000,83100000,137.42857142857144
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,108,"Jim Carrey, Kate Winslet, Elijah Wood",Adventure Drama  •  Adventure  •  Buddy Film,8.3,20000000,72258126,261.29063
The Searchers,1956,John Ford,119,"John Wayne, Jeffery Hunter, Vera Miles",Comedy Drama  •  Drama  •  Mindbender,7.8,3750000,0,NA
Days of Heaven,1978,Terrence Malick,94,"Richard Gere, Brooke Adams, Sam Shepard",Epic  •  Revisionist Western  •  Western,7.7,3000000,3700000,23.333333333333332
Rope,1948,Alfred Hitchcock,80,"James Stewart, John Dall, Farley Granger",Costume Romance  •  Drama  •  New Hollywood,7.9,1500000,2200000,46.666666666666664
My Neighbor Totoro,1988,Hayao Miyazaki,86,"Noriko Hidaka, Chika Sakamoto, Shigesato Itoi",Based-on-a-True-Story  •  Based-on-Theatre  •  Crime Drama,8.1,3700000,41000000,1008.1081081081081
American History X,1998,Tony Kaye,119,"Edward Norton, Edward Furlong, Beverly D'Angelo",Adventure  •  Animation  •  Anime,8.5,20000000,23900000,19.5
Office Space,1999,Mike Judge,89,"Stephen Root, Gary Cole, John C. McGinley",Crime  •  Crime Drama  •  Drama,7.6,10000000,12800000,28.000000000000004
The Breakfast Club,1985,John Hughes,97,"Emilio Estevez, Molly Ringwald, Anthony Michael Hall",Black Comedy  •  Comedy  •  Workplace Comedy,7.8,1000000,51525171,5052.5171
The Thin Man,1934,W.S. Van Dyke,91,"William Powell, Nat Pendleton, Minna Gombell",Comedy Drama  •  Coming-of-Age  •  Drama,7.9,226408,1423000,528.5113600226141
Rififi,1955,Jules Dassin,122,"Jean Servais, Carl Mohner, Robert Manuel",Based-on-20th-Century-Literature  •  Comedy Thriller  •  Comedy,8.1,0,0,NA
It's a Wonderful Life,1946,Frank Capra,130,"James Stewart, Donna Reed, Lionel Barrymore",Caper  •  Crime Thriller  •  Crime,8.6,3180000,9644124,203.27433962264152
